"Year","State","District","Village","pH","EC","P","K","Ca","Mg","S","Zn","B","Fe","Cu","Mn","C","Lon","Lat","soil_type"
2016,"Andhra Pradesh","Nellore","Parlapalli",7.21,0.262,18.228,132.586,1374.619,428.011,62.187,1.38,1.664,35.92,3.2,15.06,0.485,80.0394444442,14.5676694441,""
2016,"Andhra Pradesh","Nellore","tukuru",7.67,1.372,13.452,109.61,3236.658,431.157,539.452,0.86,1.379,21,1.96,7.26,0.773,80.1255555553,14.5680774998,""
2016,"Andhra Pradesh","Nellore","tukuru",6.77,0.952,28.757,196.442,897.878,410.228,118.004,0.98,1.358,53.7,2.44,51.22,0.621,80.1344444446,14.5679588891,""
2016,"Andhra Pradesh","Nellore","Vidavaluru",7.55,0.395,11.406,69.209,1052.59,202.865,83.097,4.2,1.134,22.82,1.08,14.52,0.438,80.1086111112,14.5508916668,""
2016,"Andhra Pradesh","Nellore","Vidavaluru",6.81,0.286,17.037,95.384,546.631,180.341,51.647,0.5,0.907,54.74,1.44,10.62,0.338,80.103888889,14.5518638888,""
2016,"Andhra Pradesh","Nellore","M R Peta",7.33,0.466,5.334,91.071,890.925,355.202,104.432,1.76,1.815,27.44,1.6,16.96,0.573,80.0694444445,14.5516388892,""
2016,"Andhra Pradesh","Nellore","Amancherla",7.41,0.532,12.811,212.436,2976.402,964.539,155.819,4.16,2.834,59.7,3.98,17.7,0.857,79.8511111112,14.4190605553,""
2016,"Andhra Pradesh","Nellore","Amancherla",7.14,0.362,8.283,174.066,2269.224,753.132,130.03,1.26,2.228,33.52,3.3,14.72,0.717,79.8469444442,14.4175061113,""
2016,"Andhra Pradesh","Nellore","Epuru -II",8.18,0.215,5.741,44.9,1375.836,227.423,32.699,0.54,0.774,12.4,1.04,4.4,0.275,80.0233333335,14.2336700001,""
2016,"Andhra Pradesh","Nellore","Epuru -II",8.15,0.81,5.817,165.891,1871.084,588.426,208.129,0.38,1.73,17.4,1.86,7.62,0.405,80.0261111108,14.233738889,""
2016,"Andhra Pradesh","Nellore","Kumkumapudi",6.61,0.252,28.708,143.264,797.968,269.127,91.4,0.7,1.446,82.04,2.38,50.8,0.51,79.9233333337,14.3674383331,""
2016,"Andhra Pradesh","Nellore","Kumkumapudi",8.1,0.426,12.617,111.657,2119.77,462.564,56.549,0.74,1.137,22.22,1.38,4.74,0.409,80.1074999997,14.3683666664,""
2016,"Andhra Pradesh","Nellore","Kandalapadu",8.12,0.352,19.724,99.38,1515.859,298.034,78.505,2.34,1.724,33.78,2.16,2.5,0.518,79.8837999999,14.3520888888,""
2016,"Andhra Pradesh","Nellore","Kandalapadu",8.35,0.315,13.286,154.654,445.753,76.824,84.9,7.52,0.442,6.66,0.48,5.22,0.095,79.8838388893,14.3523888891,""
2016,"Andhra Pradesh","Nellore","Kanupuru -I",8.28,0.208,8.595,127.628,3350.728,632.765,39.997,0.5,0.806,11.9,1.28,6.14,0.327,79.886027778,14.3512630557,""
2016,"Andhra Pradesh","Nellore","Kanupuru -I",7.3,0.339,62.709,81.18,1450.997,324.637,45.729,2.12,1.166,41.82,1.7,10.1,0.867,79.8856944442,14.3511797219,""
2016,"Andhra Pradesh","Nellore","Kasumuru",6.78,1.576,38.17,164.979,1398.162,595.931,171.76,1.38,3.212,72.5,2.26,7.78,0.914,79.8670249997,14.3337972225,""
2016,"Andhra Pradesh","Nellore","Kakutur",7.58,0.237,19.825,46.796,1476.617,222.84,17.922,0.76,0.805,23.3,1.02,7.24,0.299,79.9193722221,14.3510611112,""
2016,"Andhra Pradesh","Nellore","Kakutur",7.92,0.215,41.778,716.196,4326.708,1073.339,9.741,1,1.9,10.4,2.12,18.7,0.715,79.919280556,14.3512361112,""
2016,"Andhra Pradesh","Nellore","Sarvepalle -III",6.02,0.22,7.688,16.835,403.17,104.879,50.252,2.1,0.915,62.74,0.86,2.82,0.52,79.9674080558,14.2848413885,""
2016,"Andhra Pradesh","Nellore","Sarvepalle -III",7.55,0.441,7.516,154.512,1102.82,411.666,73.227,0.46,1.942,29.72,2.52,8.06,0.437,80.0004949997,14.2682297223,""
2016,"Andhra Pradesh","Nellore","K lanak duru",8.32,0.346,10.417,188.869,1705.262,648.845,44.054,0.56,1.119,23.94,2.66,8.4,0.388,79.9344916666,14.2015055555,""
2016,"Andhra Pradesh","Nellore","K lanak duru",8.34,0.173,8.128,37.852,1694.916,202.565,16.718,0.5,0.855,13.4,1.14,1.4,0.425,79.933644444,14.1845033336,""
2016,"Andhra Pradesh","Nellore","Venkanna palem",7.74,0.347,7.339,186.271,1690.779,654.945,55.918,3.06,2.668,51.98,3.66,17.14,0.792,79.9006911115,14.1516311109,""
2016,"Andhra Pradesh","Nellore","Venkanna palem",8.05,0.755,6.026,30.144,1776.821,194.565,84.929,0.24,1.266,8.26,0.54,1.32,0.186,79.9340305554,14.1512299998,""
2016,"Andhra Pradesh","Nellore","Cherukupudi",6.31,2.1,11.588,174.449,1093.108,504.599,252.195,1.04,1.525,48.16,2.08,16.7,0.529,79.8504138893,14.2682586112,""
2016,"Andhra Pradesh","Nellore","Cherukupudi",7.55,0.375,8.729,123.09,1898.857,490.187,192.017,0.48,1.722,38.94,2.82,17.5,0.641,79.8347844446,14.284349722,""
2016,"Andhra Pradesh","Nellore","Kattuva Palle",8.36,0.56,21.203,358.523,2702.93,873.322,81.583,0.54,1.629,42.64,3.4,4.98,0.806,79.9349366664,14.1675825002,""
2016,"Andhra Pradesh","Nellore","Kattuva Palle",7.86,323,40.839,95.01,1496.702,401.024,162.683,0.7,2.177,37.44,1.5,14.84,0.53,79.934498889,14.1671383332,""
2016,"Andhra Pradesh","Nellore","Vadlapudi",7.73,2.24,8.818,95.905,1779.085,561.936,21.447,1.76,0.782,13.68,1.56,6.22,0.422,79.8355277775,14.235691667,""
2016,"Andhra Pradesh","Nellore","Madamanuru",7.11,0.646,53.128,116.069,1417.574,421.635,84.201,0.76,1.893,54.62,1.64,12.24,0.586,79.8516666665,14.2190305552,""
2016,"Andhra Pradesh","Nellore","Madamanuru",7.9,0.228,65.554,65.93,1485.203,251.296,42.538,0.4,1.799,33.52,0.96,3.94,0.454,79.8516666665,14.216972222,""
2016,"Andhra Pradesh","Nellore","Ananthapuram",6.48,0.855,27.574,146.833,1148.994,388.578,30.938,0.74,1.418,74.94,1.68,4.3,0.464,80.1179638887,14.3510777774,""
2016,"Andhra Pradesh","Nellore","Ananthapuram",8.11,0.598,9.048,112.541,1697.867,420.911,42.926,1.18,1.938,21.94,2.02,2.74,0.451,80.1179666667,14.3507972222,""
2016,"Andhra Pradesh","Nellore","Eduru-II",6.4,0.781,15.975,208.683,3037.938,757.92,10.177,2.74,0.615,89.66,4.36,47.58,1.093,80.1176111108,14.3676805556,""
2016,"Andhra Pradesh","Nellore","Eduru-II",8.38,0.382,8.528,0,0,0,53.548,0.38,1.029,7.92,1.72,7.66,0,80.1344388885,14.3684638885,""
2016,"Andhra Pradesh","Nellore","K duru Kandriga",8.31,0.23,32.694,65.282,1679.571,190.59,137.626,2.58,1.327,9.16,0.76,4.42,0.305,80.1349888887,14.3839944446,""
2016,"Andhra Pradesh","Nellore","Chilamanuru",6.89,2.36,56.391,246.945,1912.59,476.85,5.397,1.92,0.535,7.66,1.2,25.34,0.725,79.70275,13.9190166667,""
2016,"Andhra Pradesh","Nellore","Chilamanuru",7.15,0.052,8.584,26.112,231.453,74.018,7.587,0.6,0.504,13.4,0.64,0.88,0.216,79.7003222226,14.9189805551,""
2016,"Andhra Pradesh","Nellore","Gundlapalem",8.03,0.532,10.891,74.912,2565.719,826.337,39.499,1,2.339,13.74,2.7,10.76,0.462,80.0689972224,14.400533611,""
2016,"Andhra Pradesh","Nellore","Gundlapalem",8.22,0.61,15.325,164.149,2154.665,422.416,45.419,4.1,0.671,25.98,2.34,12.8,0.472,80.0681694442,14.4009108335,""
2016,"Andhra Pradesh","Nellore","Siddavarappadu",7.84,0.32,8.768,87.839,1069.764,360.766,43.867,1.42,0.997,31.84,2.78,9.38,0.465,79.8513227774,14.3848466664,""
2016,"Andhra Pradesh","Nellore","Siddavarappadu",5.61,0.044,19.191,94.55,1047,223.297,341.737,1.68,2.845,119.52,3.78,28.22,0.395,79.8511608329,14.3844166664,""
2016,"Andhra Pradesh","Nellore","Narikellapalli",7.25,0.181,9.104,110.146,1319.929,477.31,106.733,1.9,1.022,44,3.56,38.76,0.678,80.0514972221,14.2678386108,""
2016,"Andhra Pradesh","Nellore","Narikellapalli",8.31,0.183,10.192,96.442,1498.394,382.857,313.059,2.24,1.415,27.5,1.7,6.98,0.644,80.0516636111,14.267875,""
2016,"Andhra Pradesh","Nellore","Kagithalpur",8.54,0.415,11.764,96.704,1355.938,598.856,42.04,1.34,1.051,13.14,1.98,7.36,0.399,79.9010727775,14.2172058335,""
2016,"Andhra Pradesh","Nellore","Kagithalpur",7.97,0.365,19.131,146.407,1250.406,551.67,135.518,3.5,1.233,39.22,2.6,10.5,0.483,79.9010766671,14.2172113886,""
2016,"Andhra Pradesh","Nellore","Pidurupalem",6.03,0.682,22.9,198.909,2409.997,714.271,22.531,2.08,1.128,118.9,3.58,44.7,1.02,79.8842319442,14.1673861108,""
2016,"Andhra Pradesh","Nellore","Pidurupalem",7.82,1.995,8.378,68.26,2009.044,649.262,88.131,2.16,3.477,9.92,1.8,6.28,0.256,79.8845080559,14.1673277781,""
2016,"Andhra Pradesh","Nellore","Kanupur - 2",7.92,1.105,18.517,195.007,2816.738,483.174,362.253,2.62,1.655,29.6,3.14,5.76,0.801,79.9005261111,14.2846569448,""
2016,"Andhra Pradesh","Nellore","Kanupur - 2",6.04,0.066,7.883,106.59,474.074,171.273,7.258,1.62,0.625,49.36,2.46,27.6,0.432,79.9003811107,14.2846927773,""
2016,"Andhra Pradesh","YSR Kadapa","D.Agraharam",7.86,0.324,8.172,62.166,1618.482,537.197,9.43,5.88,1.465,2.76,0.52,4.2,0.298,78.9358305558,14.5027222226,""
2016,"Andhra Pradesh","YSR Kadapa","D.Agraharam",8.16,0.51,25.059,105.297,2299.688,505.1,25.557,1.52,1.762,5,0.98,14.02,0.544,78.934244444,14.7186666669,""
2016,"Andhra Pradesh","YSR Kadapa","D.Agraharam",8.05,0.375,33.757,217.102,1585.777,310.091,13.012,1.8,1.723,5.94,1.02,8.38,0.691,78.9360749997,14.7170166664,""
2016,"Andhra Pradesh","YSR Kadapa","G.Narasimhapuram",8.1,0.171,8.473,165.949,2580.849,296.027,6.328,1.5,0.896,2.88,1.24,8.7,0.317,78.9526333334,14.7846916666,""
2016,"Andhra Pradesh","YSR Kadapa","G.Narasimhapuram",7.86,0.362,13.716,362.009,2625.674,463.887,19.657,1.6,1.277,5.02,1.96,6.52,0.561,78.8503888892,14.8003888886,""
2016,"Andhra Pradesh","YSR Kadapa","G.Narasimhapuram",8.18,0.51,24.071,407.449,2440.64,384.387,16.289,1.84,2.765,2.48,0.98,11.9,0.66,78.9522027775,14.7859333336,""
2016,"Andhra Pradesh","YSR Kadapa","Papi Reddypalli",8.74,0.374,13.32,77.387,2291.716,605.805,11.313,1.26,2.119,11.38,1.3,3.92,0.479,78.9012055554,14.851591667,""
2016,"Andhra Pradesh","YSR Kadapa","G dlaveedu",7.97,0.532,17.318,69.718,932.207,222.507,7.978,1.52,0.838,1.66,0.4,10.22,0.243,78.9509611115,14.833941667,""
2016,"Andhra Pradesh","YSR Kadapa","G dlaveedu",7.85,0.53,26.658,135.931,1370.403,689.124,12.499,1.54,1.347,3.84,0.6,12.32,0.377,78.9507305559,14.8342111111,""
2016,"Andhra Pradesh","YSR Kadapa","G dlaveedu",7.88,0.481,50.735,280.299,2084.176,530.969,26.961,2.26,1.532,3.1,1.18,19.94,0.958,78.9511444446,14.8351166663,""
2016,"Andhra Pradesh","YSR Kadapa","Gundapuram",8.58,0.51,14.274,89.009,2172.062,568.115,24.295,1.22,1.513,16.62,1.48,6.54,0.472,78.9526666667,14.8010305558,""
2016,"Andhra Pradesh","YSR Kadapa","Gundapuram",8.06,0.796,18.658,140.283,2271.542,369.24,24.808,1.58,1.435,10.24,1.56,12.76,0.579,78.9522555551,14.801227778,""
2016,"Andhra Pradesh","YSR Kadapa","Gundapuram",7.99,0.298,20.034,35.331,862.744,159.492,13.742,1.52,0.769,6.82,0.32,11.38,0.543,78.9521777782,14.8008222225,""
2016,"Andhra Pradesh","YSR Kadapa","Gudumala",7.9,0.462,14.77,184.362,1859.221,374.771,11.303,1.68,1.46,2.14,0.74,13.7,0.493,78.9008277781,14.8509722221,""
2016,"Andhra Pradesh","YSR Kadapa","Gudumala",8.17,0.491,22.821,103.81,1984.651,353.256,14.48,2.16,1.862,6.3,1.06,11,0.732,78.9008722226,14.8510916664,""
2016,"Andhra Pradesh","YSR Kadapa","Gudumala",8.14,0.38,31.192,448.06,3709.978,984.193,15.528,1.6,2.139,3.38,0.82,17.36,0,78.9011916663,14.8515055551,""
2016,"Andhra Pradesh","YSR Kadapa","Mudumala",7.96,0.126,18.322,198.687,2782.817,448.767,7.245,1.58,1.4,12.76,2.44,4.82,0.867,78.9017166671,14.9353138892,""
2016,"Andhra Pradesh","YSR Kadapa","Mudumala",7.48,0.457,19.262,172.685,1902.748,454.192,11.252,1.86,0.941,4.12,1.02,11.9,0.362,78.9025333333,14.9012861115,""
2016,"Andhra Pradesh","YSR Kadapa","Mudumala",8.08,0.358,11.378,135.467,2360.309,305.986,7.995,1.42,0.799,5.12,1.12,5.24,0.351,78.9023583334,14.9010722221,""
2016,"Andhra Pradesh","YSR Kadapa","S mireddipalli",5.61,0.31,17.981,206.994,621.858,182.079,33.252,1.48,1.065,77.6,2.7,11.2,1.046,78.8688222222,14.9013333331,""
2016,"Andhra Pradesh","YSR Kadapa","S mireddipalli",8.47,0.205,8.099,96.17,2166.051,848.5,7.896,1.8,2.21,3.04,0.78,8.16,0.457,78.9005305557,14.834472222,""
2016,"Andhra Pradesh","YSR Kadapa","S mireddipalli",7.88,1.012,8.367,47.371,2335.814,173.292,34.055,18.16,0.783,2.98,0.94,20.94,0.476,78.901177778,14.8179277774,""
2016,"Andhra Pradesh","YSR Kadapa","Palugurallapalli-IV",8,0.512,14.738,79.374,1469.112,388.861,13.235,2.36,1.039,3.08,1.22,11.06,0.42,78.867480556,14.8503333329,""
2016,"Andhra Pradesh","YSR Kadapa","Palugurallapalli-IV",7.99,0.381,18.305,87.197,1784.02,336.079,13.33,1.92,1.082,4.36,1.02,8.34,0.679,78.868097222,14.8674805553,""
2016,"Andhra Pradesh","YSR Kadapa","EguvaNelaturu",8.12,0.205,7.852,208.683,1884.88,343.638,6.317,0.46,1.118,3.06,1.42,13.84,0.594,78.9524999999,14.7839166668,""
2016,"Andhra Pradesh","YSR Kadapa","EguvaNelaturu",8.04,0.362,20.367,246.647,2318.498,523.49,21.73,1.6,1.191,4.84,1.52,12.9,0.469,78.9502777778,14.783658333,""
2016,"Andhra Pradesh","YSR Kadapa","EguvaNelaturu",8.63,0.302,5.989,166.181,1694.817,187.625,8.02,0.5,0.994,2.4,0.94,8.08,0.445,78.9503499997,14.7842055551,""
2016,"Andhra Pradesh","YSR Kadapa","D.Nelaturu",5.8,0.033,3.043,33.215,282.451,67.055,3.016,0.08,0.188,4.06,0.48,16.74,0.173,78.9682027779,14.8004805556,""
2016,"Andhra Pradesh","YSR Kadapa","D.Nelaturu",5.81,0.271,14.455,102.426,2801.24,292.762,23.898,0.3,0.644,14.1,1.2,9.46,0.753,78.9838611115,14.8006138891,""
2016,"Andhra Pradesh","YSR Kadapa","D.Nelaturu",8.61,0.802,10.414,114.175,2094.865,567.338,18.26,0.12,2.16,10.52,1.06,6.26,0.495,78.9681944448,14.7845583331,""
2016,"Andhra Pradesh","YSR Kadapa","D.Lingampalli",7.91,0.421,18.455,93.893,1857.971,358.242,13.707,0.3,1.088,4.9,0.86,7.22,0.756,78.9674194442,14.7357777779,""
2016,"Andhra Pradesh","YSR Kadapa","D.Lingampalli",8.49,0.252,11.226,147.431,1512.453,303.442,8.326,0.34,1.428,2.84,0.76,12.7,0.489,78.9677277776,14.7358916663,""
2016,"Andhra Pradesh","YSR Kadapa","D.Narasimhapuram",7.64,5.02,6.907,75.959,2011.483,568.896,160.793,0.3,1.569,3.68,0.84,11.42,0.268,78.9342861114,14.7173138887,""
2016,"Andhra Pradesh","YSR Kadapa","D.Narasimhapuram",8.07,0.182,17.911,94.462,1739.694,457.651,9.39,0.42,0.905,7.32,0.86,10.24,0.483,78.9344805556,14.7175722226,""
2016,"Andhra Pradesh","YSR Kadapa","D.Narasimhapuram",8.42,0.335,15.022,86.747,2340.976,652.079,18.24,0.26,2.178,15.76,1.14,5.32,0.458,78.9345722226,14.7177277774,""
2016,"Andhra Pradesh","YSR Kadapa","Dirasavancha",8.09,0.192,11.274,108.497,1946.861,480.154,5.725,5.84,1.184,6.24,1.1,5.3,0.379,79.0006305557,14.7358944443,""
2016,"Andhra Pradesh","YSR Kadapa","Dirasavancha",8.09,0.522,7.767,227.193,4087.601,1024.158,18.525,1.52,1.563,6.26,0.8,6.94,0.208,79.0006166665,14.7358944443,""
2016,"Andhra Pradesh","YSR Kadapa","Dirasavancha",8.29,0.235,20.407,126.748,1852.442,520.827,10.01,0.56,1.357,5.28,0.7,4.42,0.423,79.0009999999,14.7360277778,""
2016,"Andhra Pradesh","YSR Kadapa","Nagisettypalli",8.65,0.345,11.859,0,0,0,19.542,0.12,1.282,17.3,1.22,4.04,0,79.0011666667,14.7344944445,""
2016,"Andhra Pradesh","YSR Kadapa","Nagisettypalli",6.37,0.022,3.136,59.473,360.095,90.62,1.828,0.06,0.158,2.82,0.22,14.94,0.114,79.0013333336,14.7173277779,""
2016,"Andhra Pradesh","YSR Kadapa","Nagisettypalli",8.19,0.358,15.393,59.08,1018.974,258.603,12.25,0.36,1.15,17.48,0.88,9.66,0.321,79.0004472226,14.7338027777,""
2016,"Andhra Pradesh","YSR Kadapa","Revalakunta",8.1,0.497,14.792,171.943,1996.957,367.758,30.251,0.46,1.799,2.54,0.72,10.82,0.591,78.9027222225,14.7186666669,""
2016,"Andhra Pradesh","YSR Kadapa","Revalakunta",8.38,0.248,9.674,178.442,1765.236,386.046,7.521,0.2,1.444,2.16,0.6,11.86,0.436,78.9027499998,14.7353055556,""
2016,"Andhra Pradesh","YSR Kadapa","Revalakunta",5.95,0.028,3.141,43.463,312.706,80.546,2.907,0.06,0.166,4.86,0.32,26.8,0.103,78.9017250002,14.7343083334,""
2016,"Andhra Pradesh","YSR Kadapa","B davadaa",7.99,0.146,9.261,404.925,5788.603,506.87,6.648,0.34,0.936,2.88,0.94,5.7,0.381,78.9843055556,14.7348055559,""
2016,"Andhra Pradesh","YSR Kadapa","B davadaa",8.72,0.276,4.046,97.416,2129.264,395.084,14.801,0.1,1.089,10.38,1.14,5.02,0.425,78.9849916663,14.7344444449,""
2016,"Andhra Pradesh","YSR Kadapa","B davadaa",8.5,0.071,3.727,82.454,1754.122,148.077,1.693,2.66,0.355,2.78,0.44,9.4,0.189,78.9859138887,14.7355305552,""
2016,"Andhra Pradesh","YSR Kadapa","JangamRajupalli",8.45,0.165,10.707,232.188,2139.939,376.079,6.8,0.5,1.165,1.96,0.9,6.64,0.642,78.9020833333,14.7522499997,""
2016,"Andhra Pradesh","YSR Kadapa","JangamRajupalli",8.16,1.055,4.273,38.827,2188.074,357.42,39.483,0.05,0.703,1.78,0.38,4.42,0.212,78.9020916664,14.7523055554,""
2016,"Andhra Pradesh","YSR Kadapa","JangamRajupalli",8.24,0.108,10.169,191.252,1792.552,439.679,7.444,0.14,1.324,5.28,0.96,5.7,0.488,78.9021972225,14.7521388885,""
2016,"Andhra Pradesh","YSR Kadapa","T.Sundarivaripalli",8.19,0.405,33.675,178.514,2359.191,558.01,14.783,0.74,1.793,3.66,0.8,9.84,0.751,78.9518305553,14.8337111114,""
2016,"Andhra Pradesh","YSR Kadapa","T.Sundarivaripalli",8.1,1.146,5.168,34.784,2014.393,322.612,40.278,1.8,0.694,2.84,0.32,4.08,0.204,78.9518305553,14.8170444444,""
2016,"Andhra Pradesh","YSR Kadapa","T.Sundarivaripalli",8.45,0.485,16.166,94.74,1798.846,462.313,14.49,0.84,1.928,9.88,1.26,8.8,0.81,78.951183333,14.8336111113,""
2016,"Andhra Pradesh","YSR Kadapa","Akkalareddypalli",8.37,0.726,6.098,121.193,2147.116,550.037,20.524,0.04,1.814,10.6,1.26,3.08,0.6,79.0185055553,15.0847749999,""
2016,"Andhra Pradesh","YSR Kadapa","Akkalareddypalli",8.21,0.152,5.054,226.174,2640.512,513.688,8.197,0.04,0.993,7.58,1.26,9,0.226,79.018302778,15.0857222225,""
2016,"Andhra Pradesh","YSR Kadapa","Akkalareddypalli",8.36,0.186,16.177,90.907,1305.2,241.639,14.671,0.56,1.071,4.28,0.94,13.28,0.6,79.0188500001,15.0838388893,""
2016,"Andhra Pradesh","YSR Kadapa","B ppapuram",7.61,1.552,25.194,150.81,1650.563,667.373,48.034,2.22,2.592,10.38,2.02,52.74,1.17,79.001544444,14.9356000004,""
2016,"Andhra Pradesh","YSR Kadapa","B ppapuram",8.13,0.301,16.265,117.244,2596.997,544.38,11.331,0.64,1.158,6.74,1.02,10.42,0.609,79.0010722226,14.9356111107,""
2016,"Andhra Pradesh","YSR Kadapa","B ppapuram",8.1,0.168,25.009,191.018,1455.879,285.754,9.185,1.46,1.448,3.22,0.82,15.44,0.838,79.0185555558,14.9356802775,""
2016,"Andhra Pradesh","YSR Kadapa","Bucham Reddypalli",8.16,0.446,20.367,70.357,2067.36,299.229,13.46,0.46,1.076,4.6,0.98,12.86,0.682,79.0341666669,15.0341166666,""
2016,"Andhra Pradesh","YSR Kadapa","Bucham Reddypalli",8.23,0.225,17.296,86.791,1223.523,219.671,15.119,0.62,1.082,14.86,1.64,11.66,0.548,79.0356111112,15.0339666668,""
2016,"Andhra Pradesh","YSR Kadapa","Bucham Reddypalli",7.97,0.724,12.639,235.682,2172.093,535.912,16.426,0.52,1.075,3.62,1.1,12.26,0.632,79.0343000003,15.034247222,""
2016,"Andhra Pradesh","YSR Kadapa","T.Challagirigella",7.86,0.71,13.147,165.165,2231.081,425.318,13.713,0.2,0.885,7.36,1.1,14.3,0.523,79.0354250001,14.9176694443,""
2016,"Andhra Pradesh","YSR Kadapa","T.Challagirigella",8.12,0.268,36.441,294.364,2678.82,517.047,8.63,0.7,1.063,2.46,2.3,5.68,0.814,79.0353749996,14.9191027775,""
2016,"Andhra Pradesh","YSR Kadapa","T.Challagirigella",8.38,0.535,26.084,71.883,2107.343,379.638,23.009,0.64,1.49,9.84,1.22,4.2,0.449,79.0356333334,14.9176416669,""
2016,"Andhra Pradesh","YSR Kadapa","ChennaReddypeta",8.52,0.565,24.096,202.267,2322.707,446.095,15.26,0.48,1.56,12.24,1.76,7.94,0.757,79.0006972224,14.9516416664,""
2016,"Andhra Pradesh","YSR Kadapa","Cherl palli",9.02,0.155,4.5,46.845,1561.289,142.764,4.056,0.06,0.466,1.44,0.38,3.46,0.086,79.018486111,15.0176555559,""
2016,"Andhra Pradesh","YSR Kadapa","Cherl palli",8.21,0.232,5.505,36.699,1701.036,332.28,5.915,0.06,0.622,10.42,0.88,5.96,0.396,79.0194305557,15.0179166668,""
2016,"Andhra Pradesh","YSR Kadapa","Cherl palli",7.9,0.506,14.046,100.542,1537.976,389.996,15.589,0.28,1.803,7.4,1.44,7.58,0.487,79.0184361114,14.9847027782,""
2016,"Andhra Pradesh","YSR Kadapa","ChennaKrishnapuram",7.83,0.228,23.981,235.281,2179.676,481.57,8.055,0.92,1.058,2.74,0.78,5.54,1.02,79.0673472221,14.8351888891,""
2016,"Andhra Pradesh","YSR Kadapa","ChennaKrishnapuram",8.24,0.262,4.165,81.15,1975.374,296.652,10.744,0.04,0.839,6.26,1.58,3.82,0.615,79.066986111,14.8353333337,""
2016,"Andhra Pradesh","YSR Kadapa","ChennaKrishnapuram",7.73,0.765,7.479,261.765,2990.747,553.574,18.516,0.24,0.916,9,1.46,14.4,0.499,79.0676611107,14.8357361112,""
2016,"Andhra Pradesh","YSR Kadapa","Chinna Yerasala",8.16,0.187,9.542,81.66,2025,518.699,8.63,0.1,0.798,2.64,0.7,6.04,0.542,79.0181111108,14.9685138887,""
2016,"Andhra Pradesh","YSR Kadapa","Chinna Yerasala",7.92,0.312,16.359,74.557,1743.053,293.666,6.188,0.3,0.97,3.16,0.4,6.12,0.622,79.0180444441,14.968808333,""
2016,"Andhra Pradesh","YSR Kadapa","Chinna Yerasala",8.52,0.355,9.616,74.16,2254.185,569.849,9.943,0.05,1.545,11.74,1.28,3.62,0.407,79.034083333,14.9844194441,""
2016,"Andhra Pradesh","YSR Kadapa","Dammanapalle",8.07,0.146,11.322,209.997,2279.575,422.704,8.558,0.16,0.957,7.76,1.28,8.7,0.544,78.9847722219,15.017402778,""
2016,"Andhra Pradesh","YSR Kadapa","Dammanapalle",8.7,0.185,3.516,56.318,1953.525,259.296,3.512,0.3,0.738,3.56,0.66,5.94,0.214,78.9856027781,15.0180861108,""
2016,"Andhra Pradesh","YSR Kadapa","Dammanapalle",8.46,0.622,16.475,144.507,1868.408,456.882,50.671,0.14,2.185,24.42,2.56,5.26,0.638,78.9854833329,15.017841667,""
2016,"Andhra Pradesh","YSR Kadapa","Ganuga Penta",7.8,0.852,7.29,98.723,2179.891,180.867,21.923,0.14,0.729,1.32,0.64,18.18,0.47,79.0360638892,14.8341194441,""
2016,"Andhra Pradesh","YSR Kadapa","Ganuga Penta",7.4,0.258,3.141,27.038,633.754,156.089,7.64,0.32,0.411,1.86,0.22,12.6,0.29,79.0349527777,14.8344166664,""
2016,"Andhra Pradesh","YSR Kadapa","Ganuga Penta",8.78,0.518,9.951,83.418,1722.996,439.337,16.748,0.28,1.595,9.56,1.26,5.76,0.389,79.0517638893,14.8337166665,""
2016,"Andhra Pradesh","YSR Kadapa","K rrapatipalli",7.86,0.431,20.497,350.677,3179.356,585.793,18.321,0.8,1.505,5.54,1.28,22.36,0.84,79.0027083331,15.0514166666,""
2016,"Andhra Pradesh","YSR Kadapa","K rrapatipalli",7.87,0.503,24.779,379.917,3037.738,610.714,18.837,1.04,1.751,5.62,1.32,25.96,0.833,79.0007722223,15.0523222219,""
2016,"Andhra Pradesh","YSR Kadapa","K rrapatipalli",8.22,0.152,3.83,83.678,2896.476,547.038,10.611,0.06,1.078,2.44,0.84,4.22,0.341,79.002702778,15.0514999996,""
2016,"Andhra Pradesh","YSR Kadapa","Latchampalli",8.22,0.438,21.299,404.457,549.955,228.794,29.43,0.54,1.438,3.74,0.7,29.34,0.37,79.0021944443,15.0837694445,""
2016,"Andhra Pradesh","YSR Kadapa","Latchampalli",8.2,0.48,7.085,228.818,2999.959,443.357,39.415,0.52,0.937,13.62,1.8,5.84,0,79.0020277775,15.0844027777,""
2016,"Andhra Pradesh","YSR Kadapa","Latchampalli",8.12,0.235,4.587,441.543,2271.406,477.239,11.84,0.48,1.125,10.5,1.46,10.22,0.443,79.0020416666,15.0843888885,""
2016,"Andhra Pradesh","YSR Kadapa","Perammagari palli",8.15,0.51,5.373,229.533,3173.715,502.862,42.803,0.5,0.892,15.24,1.84,4.82,0.502,78.9843888885,14.9348055555,""
2016,"Andhra Pradesh","YSR Kadapa","Perammagari palli",8.33,0.575,21.526,542.13,675.815,280.336,42.717,0.52,1.512,3.66,0.64,31.48,0.394,78.9839722218,14.9358861108,""
2016,"Andhra Pradesh","YSR Kadapa","Perammagari palli",8.19,0.192,4.282,325.914,2352.78,541.858,6.513,0.05,1.15,7.44,1.16,6.24,0.411,78.9840055552,14.936002778,""
