"Year","State","District","Village","pH","EC","P","K","Ca","Mg","S","Zn","B","Fe","Cu","Mn","C","Lon","Lat","soil_type"
2016,"Andhra Pradesh","YSR Kadapa","K.V.R.R.Puram",7.8,0.242,1.6,165.55,2677.55,543.55,27.812,0.56,0.82,5.36,0.76,3.7,0.09,79.3360277782,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","K.V.R.R.Puram",7.79,0.364,8.743,134.05,1732.4,374.45,37.499,10.38,0.86,7.12,1.08,10.78,0.246,79.3513888885,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","Gadela",7.85,0.42,4.369,210.9,2114.35,684.65,27.727,0.7,1.2,6.16,1.16,13.7,0.398,79.2503611111,13.9833333331,""
2016,"Andhra Pradesh","YSR Kadapa","Gadela",8.02,0.416,17.264,224.2,2278.3,830.65,21.34,2.14,1.2,11.1,1.32,16.84,0.451,79.2342527774,14,""
2016,"Andhra Pradesh","YSR Kadapa","Gadela",7.75,3.35,26.137,520,1864,567,222.744,1.26,1.8,9.08,1.74,16.54,0.479,79.23395,14,""
2016,"Andhra Pradesh","YSR Kadapa","G bburivaripalli",7.96,0.852,31.724,390.35,2543.1,948.8,24.746,4.1,3.26,10.3,1.52,15.7,1.166,79.2513527782,14.0999999998,""
2016,"Andhra Pradesh","YSR Kadapa","G bburivaripalli",7.97,0.802,31.297,349.45,2392.95,885.5,23.471,4.6,2.66,11.06,1.58,18,1.134,79.2513833336,14.0999999998,""
2016,"Andhra Pradesh","YSR Kadapa","G bburivaripalli",7.97,0.613,32.751,351.55,2435.4,877.7,16.312,4.74,2.68,11.34,1.58,17.74,1.133,79.2514250001,14.0999999998,""
2016,"Andhra Pradesh","YSR Kadapa","G bburivaripalli",8.19,0.305,24.628,304.3,2542.8,1023.75,8.665,5.12,2.22,10.22,1.74,13.92,1.034,79.2511416669,14.0999999998,""
2016,"Andhra Pradesh","YSR Kadapa","G bburivaripalli",8.11,0.264,28.063,398.6,2447,696.3,11.683,1.58,2,10.66,2.04,17.34,1.03,79.3172583335,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","G vindampalli",8.21,0.265,26.221,510.7,2309.7,675.1,8.519,2.52,2.02,8.4,1.96,19.6,0.683,79.3176499999,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","G vindampalli",8.14,0.257,21.412,396.9,2504,685.4,10.073,1.24,1.82,7.88,1.84,18.28,0.93,79.3175833332,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","G vindampalli",7.9,0.86,64.057,274.25,2166.85,836.4,54.058,1.36,1.96,13.64,2.06,21.98,0.821,79.3187777777,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","Mukkavaripalli",7.89,0.528,31.317,319.3,2191,755.95,32.369,1.74,1.5,14.12,2.14,23.5,0.79,79.2850833336,14.0499999999,""
2016,"Andhra Pradesh","YSR Kadapa","Mukkavaripalli",7.9,0.75,51.034,295.1,2321.35,893.45,44.236,1.04,1.74,12.34,2.04,20.58,0.991,79.2858611114,14.0499999999,""
2016,"Andhra Pradesh","YSR Kadapa","Mukkavaripalli",8.11,0.289,25.855,708.4,3136.45,1117.75,11.598,2.68,2.08,9.2,2.06,20.16,0.817,79.2836694447,14.0499999999,""
2016,"Andhra Pradesh","YSR Kadapa","Gadela",7.83,0.935,41.698,203.65,2362.3,652.32,38.182,0.98,1.64,5.78,1.3,22.02,0.806,79.2337027782,14,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",8.07,0.145,7.163,357.95,2476.7,610.2,4.232,0.62,1.18,9.7,1.88,11.52,0.442,79.1015249996,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",8.13,0.19,19.342,442.15,2945.95,773.65,5.172,0.74,1.54,7.9,1.7,13.74,0.639,79.1015944443,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",7.97,0.855,11.074,399.65,2155.1,785.75,72.269,0.34,1.5,7.1,1.7,17.68,0.546,79.1014444446,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",8.11,0.154,4.297,292.4,2753.9,633.35,4.927,0.4,1.84,5.64,1.82,17.7,0.399,79.1013555556,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",8.27,0.249,18.375,747,2518.85,951.8,4.239,0.64,1.72,5.4,1.44,9.62,0.695,79.100858333,14.1999999996,""
